RO_NO   BPR_TPN     BOOK_STOCK_QTY
  5014.    4333233.           0.00
  5014.    4333241.           0.00
  5014.    4333268.           0.00
  5014.    4333276.           0.00
  5014.    4333993.          11.00
  5014.    4334310.           7.00
  5014.    4335457.           0.00
  5014.    4335589.           4.00
  5014.    4337182.           0.00
  5014.    4338707.         612.00
  5014.    4339541.         103.00
  5014.    4342976.         126.00
  5014.    4346955.          16.00
  5014.    4346963.           0.00
  5014.    4346998.           2.00
  5014.    4347005.           0.00
  5014.    4347021.           0.00
  5014.    4347226.          34.00
  5014.    4347234.           0.00
  5014.    4347331.           0.00
  5014.    4347358.           0.00
  5014.    4347366.           4.00
  5014.    4348508.           0.00
  5014.    4349911.          11.00
  5014.    4349938.          24.00
  5014.    4350154.           0.00
  5014.    4350197.           0.00
  5014.    4351002.           0.00
  5014.    4351037.           0.00
  5014.    4351045.           0.00
  5014.    4351053.           0.00
  5014.    4351061.           0.00
  5014.    4351088.           0.00
  5014.    4351096.           0.00
  5014.    4356314.           0.00
  5014.    4356411.           0.00
  5014.    4356519.           0.00
  5014.    4356594.           0.00
  5014.    4356608.           0.00
  5014.    4356675.           0.00
  5014.    4356683.           0.00
  5014.    4356756.           0.00
  5014.    4356764.           0.00
  5014.    4356810.           0.00
  5014.    4357515.           8.00
  5014.    4357523.           4.00
  5014.    4357531.           6.00
  5014.    4357566.          11.00
  5014.    4357574.           3.00
  5014.    4357582.          32.00
  5014.    4357620.          40.00
  5014.    4357647.          22.00
  5014.    4357736.          46.00
  5014.    4357809.          30.00
  5014.    4358708.          16.00
  5014.    4358929.          28.00
  5014.    4358953.           0.00
  5014.    4358996.          37.00
  5014.    4359038.          11.00
  5014.    4359062.           2.00
  5014.    4359089.           7.00
  5014.    4359097.           5.00
  5014.    4359100.           4.00
  5014.    4359119.         142.00
  5014.    4359127.           1.00
  5014.    4359135.          11.00
  5014.    4359143.           3.00
  5014.    4359372.           0.00
  5014.    4359380.          14.00
  5014.    4360095.           3.00
  5014.    4360265.           5.00
  5014.    4360338.           3.00
  5014.    4360346.           7.00
  5014.    4360540.           7.00
  5014.    4360893.           4.00
  5014.    4361172.           3.00
  5014.    4361237.          17.00
  5014.    4361318.           6.00
  5014.    4361490.           8.00
  5014.    4361504.          12.00
  5014.    4361555.           5.00
  5014.    4361598.           6.00
  5014.    4361601.           6.00
  5014.    4361636.           0.00
  5014.    4361652.           0.00
  5014.    4361660.           7.00
  5014.    4361687.           0.00
  5014.    4361741.          15.00
  5014.    4361768.          24.00
  5014.    4361776.           6.00
  5014.    4361784.          43.00
  5014.    4361792.           0.00
  5014.    4361806.           0.00
  5014.    4361814.           6.00
  5014.    4361849.           6.00
  5014.    4361873.           9.00
  5014.    4361911.           6.00
  5014.    4361946.           3.00
  5014.    4361954.           9.00
  5014.    4361962.           5.00
  5014.    4362187.           6.00
  5014.    4362780.           4.00
  5014.    4362845.           0.00
  5014.    4362934.           8.00
  5014.    4363760.           4.00
  5014.    4363779.          23.00
  5014.    4363795.           5.00
  5014.    4365267.          23.00
  5014.    4366387.          11.00
  5014.    4366778.           6.00
  5014.    4367405.          13.00
  5014.    4367553.           6.00
  5014.    4368401.          16.00
  5014.    4368460.          65.00
  5014.    4368533.          83.00
  5014.    4369475.          12.00
  5014.    4369637.           5.00
  5014.    4369688.          40.00
  5014.    4369718.           8.00
  5014.    4369734.           9.00
  5014.    4369920.           5.00
  5014.    4369939.           6.00
  5014.    4370007.          24.00
  5014.    4370031.           1.00
  5014.    4370066.          13.00
  5014.    4370279.           6.00
  5014.    4370287.           0.00
  5014.    4370325.           7.00
  5014.    4370384.           3.00
  5014.    4370392.          10.00
  5014.    4370422.           8.00
  5014.    4370457.           4.00
  5014.    4371712.           6.00
  5014.    4371720.           7.00
  5014.    4371739.           5.00
  5014.    4371747.           7.00
  5014.    4371755.           6.00
  5014.    4371771.           7.00
  5014.    4371798.           4.00
  5014.    4371801.           3.00
  5014.    4371836.           6.00
  5014.    4371844.           3.00
  5014.    4371887.          18.00
  5014.    4372018.          12.00
  5014.    4372077.          21.00
  5014.    4372085.          18.00
  5014.    4372336.          11.00
  5014.    4372751.           0.00
  5014.    4372808.           5.00
  5014.    4372832.           8.00
  5014.    4372840.           6.00
  5014.    4373758.         142.00
  5014.    4373847.          10.00
  5014.    4373863.          30.00
  5014.    4373960.           8.00
  5014.    4373979.           0.00
  5014.    4373995.           0.00
  5014.    4374940.           3.00
  5014.    4375858.          67.00
  5014.    4375866.          49.00
  5014.    4376455.         150.00
  5014.    4376625.           7.00
  5014.    4377931.          23.00
  5014.    4377958.           9.00
  5014.    4377966.          17.00
  5014.    4377974.          14.00
  5014.    4379306.           0.00
  5014.    4379330.           0.00
  5014.    4379411.           0.00
  5014.    4379462.           0.00
  5014.    4379527.           9.00
  5014.    4379748.           0.00
  5014.    4379756.           0.00
  5014.    4379837.           0.00
  5014.    4379918.           0.00
  5014.    4379993.           0.00
  5014.    4380169.           0.00
  5014.    4380177.           0.00
  5014.    4380606.           8.00
  5014.    4380622.          19.00
  5014.    4380886.           0.00
  5014.    4380908.           0.00
  5014.    4380916.           0.00
  5014.    4380924.           0.00
  5014.    4380932.           0.00
  5014.    4380940.           0.00
  5014.    4380959.           0.00
  5014.    4380967.           0.00
  5014.    4380975.           0.00
  5014.    4380983.           0.00
  5014.    4381041.           0.00
  5014.    4381068.           0.00
  5014.    4381076.           0.00
  5014.    4381084.           0.00
  5014.    4381092.           0.00
  5014.    4381106.           0.00
  5014.    4381114.           0.00
  5014.    4381122.           0.00
  5014.    4381130.           0.00
  5014.    4381149.           0.00
  5014.    4381157.           0.00
  5014.    4381165.           0.00
  5014.    4381173.           0.00
  5014.    4381181.           0.00
  5014.    4381203.           0.00
  5014.    4381270.           0.00
  5014.    4381289.           0.00
  5014.    4381300.           0.00
  5014.    4381378.           9.00
  5014.    4381483.           0.00
  5014.    4381513.           0.00
  5014.    4381521.           0.00
  5014.    4381556.           0.00
  5014.    4381599.           0.00
  5014.    4382315.          38.00
  5014.    4382323.           4.00
  5014.    4382331.          16.00
  5014.    4382358.          11.00
  5014.    4383249.          42.00
  5014.    4383273.           0.00
  5014.    4387287.           6.00
  5014.    4387538.           4.00
  5014.    4388267.           0.00
  5014.    4388690.           0.00
  5014.    4388798.           0.00
  5014.    4388801.           0.00
  5014.    4388828.           0.00
  5014.    4388836.           0.00
  5014.    4388844.           0.00
  5014.    4388917.           0.00
  5014.    4388925.           0.00
  5014.    4388933.           0.00
  5014.    4388941.           0.00
  5014.    4388968.           0.00
  5014.    4388976.           0.00
  5014.    4388984.           0.00
  5014.    4388992.           0.00
  5014.    4389018.           0.00
  5014.    4389093.           7.00
  5014.    4389107.           7.00
  5014.    4389166.           0.00
  5014.    4389557.           8.00
  5014.    4389735.          16.00
  5014.    4389743.           5.00
  5014.    4389751.           5.00
  5014.    4389778.           5.00
  5014.    4389786.           5.00
  5014.    4390067.           0.00
  5014.    4390164.           0.00
  5014.    4390172.           0.00
  5014.    4390180.           0.00
  5014.    4390199.           0.00
  5014.    4390202.           0.00
  5014.    4390288.           0.00
  5014.    4390296.           0.00
  5014.    4390318.           0.00
  5014.    4390326.           0.00
  5014.    4390334.           4.00
  5014.    4391152.           3.00
  5014.    4392604.          26.00
  5014.    4392914.           0.00
  5014.    4392957.           8.00
  5014.    4392965.          29.00
  5014.    4395093.           7.00
  5014.    4395239.           0.00
  5014.    4396294.          16.00
  5014.    4400542.           2.00
  5014.    4400569.           0.00
  5014.    4400585.          38.00
  5014.    4402731.           5.00
  5014.    4403177.           6.00
  5014.    4403371.           0.00
  5014.    4403398.          13.00
  5014.    4403401.           7.00
  5014.    4403428.           6.00
  5014.    4403436.           9.00
  5014.    4403444.           8.00
  5014.    4403452.          10.00
  5014.    4403479.          13.00
  5014.    4403487.           5.00
  5014.    4403495.          14.00
  5014.    4403509.          12.00
  5014.    4403525.          15.00
  5014.    4403533.           7.00
  5014.    4403541.           6.00
  5014.    4404076.           0.00
  5014.    4404084.           8.00
  5014.    4404092.           3.00
  5014.    4404122.           8.00
  5014.    4404149.          15.00
  5014.    4404157.           6.00
  5014.    4404165.           5.00
  5014.    4404173.           4.00
  5014.    4404181.           6.00
  5014.    4404203.           6.00
  5014.    4404211.           5.00
  5014.    4404238.           7.00
  5014.    4404246.           4.00
  5014.    4404475.           0.00
  5014.    4404513.           0.00
  5014.    4405145.           6.00
  5014.    4405188.           5.00
  5014.    4405242.           2.00
  5014.    4405250.           2.00
  5014.    4405269.           3.00
  5014.    4405285.           2.00
  5014.    4405358.           7.00
  5014.    4405374.           5.00
  5014.    4405587.           5.00
  5014.    4405595.           6.00
  5014.    4405609.           4.00
  5014.    4405625.          10.00
  5014.    4405633.           3.00
  5014.    4405676.           8.00
  5014.    4406192.           4.00
  5014.    4406982.           0.00
  5014.    4407199.           7.00
  5014.    4407202.           8.00
  5014.    4407865.          27.00
  5014.    4408020.          16.00
  5014.    4408039.          56.00
  5014.    4408063.           8.00
  5014.    4408101.           1.00
  5014.    4408128.          16.00
  5014.    4408187.           7.00
  5014.    4409841.           0.00
  5014.    4409876.           0.00
  5014.    4410025.         102.00
  5014.    4410106.          30.00
  5014.    4410114.          50.00
  5014.    4410130.          12.00
  5014.    4410858.           3.00
  5014.    4411218.           2.00
  5014.    4411447.           1.00
  5014.    4411757.        1630.00
  5014.    4411765.          76.00
  5014.    4411935.           0.00
  5014.    4411994.           5.00
  5014.    4415701.          19.00
  5014.    4415760.          36.00
  5014.    4415787.           9.00
  5014.    4415841.          16.00
  5014.    4415868.           4.00
  5014.    4415884.          33.00
  5014.    4415981.          22.00
  5014.    4416023.          38.00
  5014.    4416163.          26.00
  5014.    4416198.          36.00
  5014.    4416201.          10.00
  5014.    4416244.          34.00
  5014.    4416333.          13.00
  5014.    4416899.           0.00
  5014.    4417615.          10.00
  5014.    4417658.           0.00
  5014.    4417801.          43.00
  5014.    4418050.          11.00
  5014.    4418077.          10.00
  5014.    4418204.          10.00
  5014.    4418271.          15.00
  5014.    4418298.          26.00
  5014.    4418417.          16.00
  5014.    4420225.           8.00
  5014.    4420284.          41.00
  5014.    4420586.           0.00
  5014.    4420608.           0.00
  5014.    4420624.           0.00
  5014.    4420632.           0.00
  5014.    4420659.           0.00
  5014.    4420683.           0.00
  5014.    4420845.          24.00
  5014.    4420853.          24.00
  5014.    4421183.           8.00
  5014.    4421868.           4.00
  5014.    4421906.          27.00
  5014.    4421930.          18.00
  5014.    4421957.          18.00
  5014.    4422058.          15.00
  5014.    4422147.          47.00
  5014.    4422481.           4.00
  5014.    4422503.           3.00
  5014.    4422643.           0.00
  5014.    4422724.           0.00
  5014.    4423054.          24.00
  5014.    4423097.          12.00
  5014.    4423100.          11.00
  5014.    4424190.           3.00
  5014.    4424220.           0.00
  5014.    4424697.           0.00
  5014.    4424743.           0.00
  5014.    4425871.           8.00
  5014.    4425898.          33.00
  5014.    4425979.          20.00
  5014.    4426266.           0.00
  5014.    4426282.           0.00
  5014.    4426304.          75.00
  5014.    4426320.          47.00
  5014.    4426339.           0.00
  5014.    4426347.          63.00
  5014.    4426819.           0.00
  5014.    4426908.           0.00
  5014.    4427505.          17.00
  5014.    4427513.          19.00
  5014.    4427556.          20.00
  5014.    4427564.          17.00
  5014.    4427572.          13.00
  5014.    4427580.           0.00
  5014.    4427599.           0.00
  5014.    4427602.           0.00
  5014.    4427610.           8.00
  5014.    4427637.           8.00
  5014.    4427645.          11.00
  5014.    4427688.          12.00
  5014.    4427696.           6.00
  5014.    4427726.           7.00
  5014.    4427750.          10.00
  5014.    4427777.           8.00
  5014.    4427807.           9.00
  5014.    4427815.           7.00
  5014.    4427823.          12.00
  5014.    4427831.           6.00
  5014.    4427858.           9.00
  5014.    4427866.           9.00
  5014.    4427874.           7.00
  5014.    4427882.           5.00
  5014.    4427890.           5.00
  5014.    4427904.           3.00
  5014.    4428234.          25.00
  5014.    4428242.          21.00
  5014.    4429508.           8.00
  5014.    4429540.           6.00
  5014.    4429745.           8.00
  5014.    4429842.           6.00
  5014.    4429869.           9.00
  5014.    4429931.          31.00
  5014.    4430026.          28.00
  5014.    4430050.          14.00
  5014.    4430484.          81.00
  5014.    4430565.         104.00
  5014.    4430662.          38.00
  5014.    4431294.           9.00
  5014.    4431308.          29.00
  5014.    4433238.          15.00
  5014.    4433262.           1.00
  5014.    4433483.          12.00
  5014.    4433491.          10.00
  5014.    4433572.           5.00
  5014.    4433580.          27.00
  5014.    4433653.          20.00
  5014.    4436091.         155.00
  5014.    4436113.           9.00
  5014.    4436199.           0.00
  5014.    4436245.           0.00
  5014.    4436393.          10.00
  5014.    4436431.           3.00
  5014.    4436458.           6.00
  5014.    4437136.          40.00
  5014.    4437233.          43.00
  5014.    4437470.           5.00
  5014.    4437489.          -5.00
  5014.    4437497.           0.00
  5014.    4440544.           0.00
  5014.    4441575.          29.00
  5014.    4441648.           0.00
  5014.    4441656.          26.00
  5014.    4441788.           0.00
  5014.    4442636.          20.00
  5014.    4444558.          27.00
  5014.    4445651.           9.00
  5014.    4445724.           8.00
  5014.    4446518.           0.00
  5014.    4446623.           0.00
  5014.    4446712.           0.00
  5014.    4446747.           0.00
  5014.    4446828.           0.00
  5014.    4446836.           0.00
  5014.    4446844.           0.00
  5014.    4446917.          12.00
  5014.    4446984.          16.00
  5014.    4447034.          11.00
  5014.    4447387.          35.00
  5014.    4447395.          36.00
  5014.    4447549.           8.00
  5014.    4447557.           6.00
  5014.    4447565.         273.00
  5014.    4447573.          67.00
  5014.    4447603.           7.00
  5014.    4447611.           6.00
  5014.    4447832.          13.00
  5014.    4447840.          12.00
  5014.    4447913.           1.00
  5014.    4448219.           5.00
  5014.    4448235.           7.00
  5014.    4448243.          15.00
  5014.    4448251.           7.00
  5014.    4448278.          15.00
  5014.    4448286.           7.00
  5014.    4448308.           1.00
  5014.    4448367.           7.00
  5014.    4448375.           3.00
  5014.    4448391.          45.00
  5014.    4448790.           0.00
  5014.    4448804.           0.00
  5014.    4448820.           0.00
  5014.    4449312.          50.00
  5014.    4449401.          42.00
  5014.    4449428.          59.00
  5014.    4449436.          20.00
  5014.    4449452.          14.00
  5014.    4449479.          28.00
  5014.    4451686.          26.00
  5014.    4451724.           0.00
  5014.    4451783.           0.00
  5014.    4451791.           0.00
  5014.    4451805.          18.00
  5014.    4451864.           0.00
  5014.    4451872.           0.00
  5014.    4451937.           0.00
  5014.    4451945.           0.00
  5014.    4452011.           0.00
  5014.    4452038.           0.00
  5014.    4452089.           0.00
  5014.    4452143.          22.00
  5014.    4452690.          10.00
  5014.    4452704.           7.00
  5014.    4452747.          12.00
  5014.    4453352.           6.00
  5014.    4453581.          26.00
  5014.    4453603.          24.00
  5014.    4455681.         139.00
  5014.    4455819.           9.00
  5014.    4455827.           8.00
  5014.    4455835.           4.00
  5014.    4455851.           0.00
  5014.    4455878.           1.00
  5014.    4456459.           0.00
  5014.    4457706.          60.00
  5014.    4457714.          42.00
  5014.    4457765.          19.00
  5014.    4458133.          21.00
  5014.    4458419.          19.00
  5014.    4460030.           0.00
  5014.    4460065.           0.00
  5014.    4460464.          10.00
  5014.    4460960.         160.00
  5014.    4460979.          68.00
  5014.    4462297.           4.00
  5014.    4462300.           7.00
  5014.    4462319.          12.00
  5014.    4462386.           0.00
  5014.    4462394.           1.00
  5014.    4462513.          27.00
  5014.    4462564.           0.00
  5014.    4462629.          27.00
  5014.    4462718.          26.00
  5014.    4462742.          32.00
  5014.    4463161.          10.00
  5014.    4463188.         139.00
  5014.    4463196.          13.00
  5014.    4463218.          12.00
  5014.    4463226.          27.00
  5014.    4463242.          74.00
  5014.    4465229.          16.00
  5014.    4468147.          20.00
